Timestamp,Source_IP,Destination_IP,Prediction,Confidence_Score,Detection_Time_ms,Mitigation_Time_ms,Action_Taken
2026-05-24T22:42:51.229305,10.0.107.189,victim,DDoS,0.8600,26.98,0.14,"DROP_RULE_INSTALLED(ip=10.0.107.189, priority=100, timeout=300s)"
2026-05-24T22:42:51.259584,10.0.243.246,victim,DDoS,0.8600,27.10,0.28,"DROP_RULE_INSTALLED(ip=10.0.243.246, priority=100, timeout=300s)"
2026-05-24T22:42:51.299171,10.0.64.244,victim,DDoS,0.8600,33.63,0.19,"DROP_RULE_INSTALLED(ip=10.0.64.244, priority=100, timeout=300s)"
2026-05-24T22:42:54.854547,10.0.234.230,victim,DDoS,0.8600,25.70,0.16,"DROP_RULE_INSTALLED(ip=10.0.234.230, priority=100, timeout=300s)"
2026-05-24T22:42:54.970927,10.0.41.99,victim,DDoS,0.8600,27.05,0.17,"DROP_RULE_INSTALLED(ip=10.0.41.99, priority=100, timeout=300s)"
2026-05-24T22:42:55.033907,10.0.30.48,victim,DDoS,0.8600,29.84,0.15,"DROP_RULE_INSTALLED(ip=10.0.30.48, priority=100, timeout=300s)"
2026-05-24T22:42:55.180877,10.0.240.233,victim,DDoS,0.8600,27.20,0.20,"DROP_RULE_INSTALLED(ip=10.0.240.233, priority=100, timeout=300s)"
2026-05-24T22:42:55.241584,10.0.137.59,victim,DDoS,0.8600,27.40,0.19,"DROP_RULE_INSTALLED(ip=10.0.137.59, priority=100, timeout=300s)"
2026-05-24T22:42:55.271263,10.0.87.134,victim,DDoS,0.8600,26.93,0.15,"DROP_RULE_INSTALLED(ip=10.0.87.134, priority=100, timeout=300s)"
2026-05-24T22:42:55.302057,10.0.12.175,victim,DDoS,0.8600,27.15,0.14,"DROP_RULE_INSTALLED(ip=10.0.12.175, priority=100, timeout=300s)"
2026-05-24T22:42:55.331598,10.0.152.183,victim,DDoS,0.8600,26.89,0.16,"DROP_RULE_INSTALLED(ip=10.0.152.183, priority=100, timeout=300s)"
2026-05-24T22:42:55.360868,10.0.41.74,victim,DDoS,0.8600,26.57,0.17,"DROP_RULE_INSTALLED(ip=10.0.41.74, priority=100, timeout=300s)"
2026-05-24T22:42:55.390469,10.0.107.75,victim,DDoS,0.8600,26.71,0.15,"DROP_RULE_INSTALLED(ip=10.0.107.75, priority=100, timeout=300s)"
